"ft_barack_obama_pre","ft_barack_obama_post","ft_mitt_romney_pre","ft_mitt_romney_post","ft_joe_biden_pre","ft_joe_biden_post","ft_paul_ryan_pre","ft_paul_ryan_post","ft_gay"
100,NA,0,NA,100,NA,0,NA,NA
100,100,0,0,100,95,0,0,85
100,100,0,0,100,100,5,0,50
100,100,NA,0,NA,0,NA,0,0
100,100,60,50,70,85,50,60,70
100,100,15,30,NA,75,NA,50,50
100,100,15,15,85,100,NA,30,85
100,100,0,60,40,85,NA,70,70
85,85,50,40,NA,50,NA,50,50
40,40,60,60,50,50,70,60,50
40,50,30,70,50,50,60,70,50
40,30,70,65,30,40,85,75,50
60,85,30,40,50,70,15,NA,50
30,50,30,50,15,50,15,50,50
15,30,85,85,0,0,100,100,70
0,0,60,70,0,0,70,70,50
0,0,70,85,30,15,100,100,50
85,70,30,40,85,70,15,30,85
60,85,50,40,50,NA,50,NA,50
100,100,50,50,0,0,60,50,0
40,50,60,60,15,30,70,70,50
0,0,50,60,NA,40,NA,NA,85
40,50,50,50,50,50,NA,50,50
70,NA,70,NA,50,NA,50,NA,NA
60,50,70,60,60,60,70,60,50
50,NA,30,NA,50,NA,30,NA,NA
40,0,85,60,0,15,85,70,0
15,30,100,85,0,50,100,100,100
50,70,40,30,40,NA,40,NA,15
70,85,15,40,70,70,15,40,85
85,100,40,40,85,100,40,60,70
85,85,50,30,30,40,40,40,60
50,70,30,50,40,50,15,50,40
60,70,30,40,NA,NA,NA,NA,60
85,85,70,85,40,85,40,NA,85
60,60,60,60,NA,40,70,50,85
85,60,50,50,50,50,50,50,50
85,85,30,50,NA,50,70,50,60
85,85,40,50,50,50,NA,NA,40
85,70,15,30,NA,60,NA,NA,85
15,30,100,100,50,30,100,85,50
90,98,50,60,80,90,40,30,85
70,80,50,50,50,60,NA,40,90
0,0,100,100,15,30,100,100,85
15,0,85,70,15,0,70,70,50
15,0,85,85,NA,50,NA,70,50
15,15,70,70,15,15,60,85,85
0,0,100,85,15,0,70,100,50
15,40,70,70,15,40,70,60,50
0,0,100,85,0,0,100,85,60
85,85,40,50,70,70,NA,50,40
15,0,60,50,NA,NA,NA,NA,0
0,0,10,0,40,0,40,10,70
30,60,70,85,NA,50,NA,50,50
0,50,50,50,50,50,NA,NA,60
100,85,50,60,70,50,60,NA,50
60,85,100,85,60,100,NA,85,85
70,60,50,40,NA,NA,NA,NA,0
70,70,40,50,70,70,40,50,50
70,85,30,40,60,85,50,40,50
0,0,70,70,0,0,70,70,50
100,100,0,0,100,100,0,0,50
70,85,0,0,70,100,0,0,100
30,25,70,70,85,50,85,NA,90
50,30,50,70,50,15,50,60,50
15,40,15,40,40,50,NA,50,100
85,85,30,40,85,100,40,50,70
90,90,30,40,90,90,30,40,100
70,75,50,50,50,NA,NA,NA,50
85,90,85,85,75,85,80,75,75
70,70,0,30,NA,NA,NA,NA,50
85,85,40,50,70,85,40,50,60
0,30,60,60,40,40,60,40,100
100,100,0,0,100,100,0,0,0
15,15,70,85,50,50,100,85,50
30,40,60,70,NA,50,NA,50,60
30,0,100,100,50,0,60,85,70
70,70,60,40,NA,NA,NA,NA,60
30,50,60,75,30,50,60,80,50
80,70,60,40,50,70,70,NA,0
100,100,15,15,85,85,0,0,50
65,NA,20,NA,NA,NA,NA,NA,NA
85,85,0,15,60,60,0,15,85
NA,50,NA,78,NA,50,NA,50,50
50,40,50,60,50,50,50,60,85
100,85,50,15,85,70,NA,15,50
85,85,50,15,50,85,NA,NA,85
85,85,30,30,80,85,70,50,50
30,15,30,40,15,30,55,60,30
40,40,40,50,40,60,50,50,40
30,0,85,70,0,0,85,100,50
15,30,70,85,40,30,50,50,70
0,NA,85,NA,40,NA,30,NA,NA
70,70,15,30,50,50,NA,60,15
40,60,70,70,0,0,40,30,50
85,100,0,15,85,100,0,0,50
70,60,85,85,50,60,60,60,85
0,15,70,70,60,50,NA,85,15
30,40,50,60,0,15,70,NA,15
85,85,30,60,50,70,70,85,60
30,15,70,85,30,15,70,60,50
0,30,85,100,0,15,70,85,40
30,40,60,60,40,40,60,60,0
30,55,85,80,0,40,70,80,50
0,15,100,100,0,0,100,100,70
70,60,70,60,40,40,50,30,70
100,100,0,50,85,100,50,50,60
85,100,50,70,70,85,60,60,50
100,NA,0,NA,100,NA,NA,NA,NA
100,85,0,40,NA,60,NA,70,100
100,85,40,50,85,85,30,50,85
100,100,50,0,40,40,50,30,50
100,100,30,40,100,100,30,30,85
40,60,60,70,30,40,60,85,50
85,85,60,50,85,70,40,40,100
85,NA,50,NA,NA,NA,NA,NA,NA
100,85,0,0,70,70,15,NA,60
60,30,15,15,0,50,15,50,50
100,85,0,15,50,60,50,30,50
60,40,40,85,50,15,70,85,15
